purpose,priority
"Благотворительное пожертвование 54273, ИНН 182037480406",5
Оплата услуг охраны 8402 от 29.11.2024,5
ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 68333 (РАО «ЗАХАРОВА»),5
"Срочный: Платеж за уборку помещений 45452 от 14.04.2025, ИНН 965669035814",5
Срочный: Взыскание алиментов по исп. листу 35863 Бежевый,1
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 7006 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ БЕЗ НДС (Роберт Бош (Robert Bosch)),1
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 81973,5
Срочный: Перечисление за аренду оборудования 57729 (основание: договор 734),5
Оплата хостинга за Июль 56741 Бежевый от 04.05.2025,5
ВОДНЫЙ НАЛОГ 48576,3
Платеж за поставку канцтоваров 94742 без НДС,5
Оплата банковских услуг 93604 Светло-голубой с НДС,5
Оплата командировочных расходов 46687 (Богданов Групп) Оранжево-красный Серебряный,5
"Срочный: Оплата рекламных услуг 97920, ИНН 350703660341",5
"Благотворительное пожертвование 14029, ИНН 189210521977",5
Платеж за поставку канцтоваров 91093 от 30.12.2024 (ЗАО «Костин-Калинин») Античный Белый,5
"Срочный: Платеж за юридические услуги 48893, ИНН 829295747193 без НДС",5
НДС за 2 квартал 2023 65215 (основание: договор 546),3
Платеж за поставку канцтоваров 20699 (РМ Рейл),5
Возмещение ущерба здоровью по исп. листу 52524 от 22.09.2024 с НДС,1
Взыскание алиментов по исп. листу 27186 от 26.04.2025 с НДС,1
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 35966 С НДС без НДС,3
"ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 30216, ИНН 678258754490, ИНН 712014220400",5
Оплата командировочных расходов 27935 (основание: договор 423),5
"Оплата командировочных расходов 49688 Бирюзовый, ИНН 447398673439 (Национальная нерудная компания)",5
Оплата командировочных расходов 73660 без НДС Светло-зеленый,5
Перечисление за аренду офиса 84701 Темный хаки,5
Срочный: Перечисление средств по исп. документу 83644 о возмещении вреда жизни с НДС,1
Оплата командировочных расходов 70008 (ИП «Панов-Шубина»),5
Возврат займа контрагенту 85222 (Сатурн-Р),5
Платеж за поставку канцтоваров 18282 (ООО «Фадеев-Лобанова»),5
Срочный: Оплата услуг связи по договору 15188 от 04.02.2025,5
Перечисление средств по исп. документу 31700 о возмещении вреда жизни (ИП «Гаврилов-Королев»),1
Срочный: Оплата рекламных услуг 31150 от 11.05.2025,5
Срочный: Медицинская компенсация по судебному решению 71434 Золотой,1
"ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 5036 (ВРЕД ЗДОРОВЬЮ), ИНН 512245447691 (основание: договор 186)",1
Благотворительное пожертвование 65695,5
Платеж за уборку помещений 77542 (ЗАО «Ширяева-Романов») (основание: договор 416),5
"Платеж за уборку помещений 35940, ИНН 888578896044 (РАО «Кошелева Воробьева») (основание: договор 128)",5
Взыскание алиментов по исп. листу 50313 от 06.07.2024 (основание: договор 313),1
Платеж за проведение тренинга 5406 от 03.04.2025 от 04.05.2025,5
НДС за 2 квартал 2023 26946 (основание: договор 530),3
Исполнительный лист номер 57375 о возмещении вреда здоровью Сине-фиолетовый без НДС,1
Срочный: Перечисление за аренду оборудования 85379,5
"Срочный: Перечисление средств по исп. документу 35686 о возмещении вреда жизни, ИНН 818324680734, ИНН 617830516697",1
"Срочный: Платеж за уборку помещений 40312, ИНН 941274321523",5
Пенсионные взносы за Июль 2023 19130 без НДС Серебряный (ООО «Чернов»),3
Налоговый перечисление в бюджет РФ №7307,3
Уплата транспортного налога 43360 Античный Белый,3
Срочный: Оплата командировочных расходов 76012 с НДС Бирюзовый,5
"Платеж за уборку помещений 22142 (ЗАО «Лебедева, Гусев и Белоусов») (основание: договор 638)",5
Оплата банковских услуг 42233 (ЗАО «Белякова»),5
"Оплата услуг охраны 28802 (ИП «Рябова, Волкова и Третьякова»)",5
Компенсация по контракту КПП 664843853 28526,3
Платеж за поставку канцтоваров 7209 (основание: договор 145),5
Медицинская компенсация по судебному решению 67290 Коричневый,1
Исполнительный лист №74948 о возмещении вреда здоровью без НДС от 31.10.2024,1
Срочный: ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 53765,5
Оплата услуг связи по договору 94162 Темно-синий,5
Срочный: Платеж за поставку канцтоваров 14431 (Суворова Лтд) (основание: договор 669),5
Оплата хостинга за Июль 45481 Зеленый Фуксия,5
Таможенные платежи по декларации 78194 от 28.03.2025,3
Платеж за поставку канцтоваров 41946 Фуксия Розовый,5
Перечисление по акту неотложный платеж с НДС,1
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №22461 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Налоговый платеж в бюджет РФ №97047 от 05.02.2025,3
"Возмещение ущерба здоровью по исп. листу 7186, ИНН 156684996147 Коралловый",1
"Налоговый платеж в бюджет РФ №87418, ИНН 804609637923",3
Перечисление за программное обеспечение 74370 Желтый,5
Срочный: Исполнительное производство 54344 о возмещении вреда здоровью,1
"Возмещение ущерба здоровью по исп. листу 69722, ИНН 436566103889",1
ЕНВД за отчетный период 57564 от 14.03.2025,3
Платеж за уборку помещений 73925 Слоновая кость (Фармимэкс),5
СРОЧНЫЙ: ОПЛАТА РЕКЛАМНЫХ УСЛУГ 39313,5
Платеж за поставку канцтоваров 87166 (основание: договор 758),5
Оплата услуг связи по договору 29184 от 03.02.2025 без НДС,5
"Оплата командировочных расходов 20745 без НДС, ИНН 750229380696 от 11.03.2025",5
Срочный: Оплата хостинга за Июль 3331,5
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 58412 (ОСНОВАНИЕ: ДОГОВОР 688) ТЕМНО-БИРЮЗОВЫЙ,5
Компенсация морального вреда по решению суда 90993,1
Налоговый перечисление в бюджет РФ №24024,3
Платеж за поставку канцтоваров 67825 Шоколадный,5
Благотворительное пожертвование 58780 без НДС (ООО «Герасимова-Беляев»),5
"Оплата услуг связи по договору 64356, ИНН 399890271213, ИНН 366188995906",5
"Срочный: Платеж за уборку помещений 77511, ИНН 576027348727",5
"Оплата рекламных услуг 61391 Бледно-зеленый, ИНН 419959265163",5
"Перечисление за аренду офиса 33294 с НДС, ИНН 457740859985 (ИП «Комаров-Терентьев»)",5
Пенсионные отчисления за Июль 2023 32504 (основание: договор 905),3
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 77555 (ВРЕД ЗДОРОВЬЮ) от 14.02.2025,1
ВОДНЫЙ НАЛОГ 70255 Светло-розовый,3
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 26163 ТЕМНО-СЕРЫЙ (основание: договор 539),5
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 49941 Темно-фиолетовый,5
Уплата транспортного налога 63029 с НДС (основание: договор 443) без НДС,3
Срочный: Перечисление НДФЛ за сотрудников по платежке 27792 с НДС (основание: договор 813),3
Оплата командировочных расходов 49073 (основание: договор 268),5
Перечисление НДФЛ за сотрудников по перечислениеке 14665 Оранжевый,3
Взыскание алиментов по исп. листу 59744 с НДС,1
Перечисление за аренду оборудования 76285 от 16.09.2024 от 26.10.2024,5
Платеж за проведение тренинга 1405 (основание: договор 962),5
"Уплата транспортного налога 64469, ИНН 377637264781",3
Перечисление за программное обеспечение 83976 Ярко-розовый,5
Возврат займа контрагенту 70553 с НДС,5
"ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 28645 (ООО «МИШИН, ГРОМОВ И СТРЕЛКОВ») (основание: договор 856)",5
Оплата командировочных расходов 4155 от 23.07.2024,5
ПЕНСИОННЫЕ ВЗНОСЫ ЗА ИЮЛЬ 2023 31352 с НДС,3
Срочный: Исполнительное производство 14107 о возмещении вреда здоровью,1
"Перечисление за аренду оборудования 43058 (основание: договор 260), ИНН 990793040290",5
Платеж за уборку помещений 26742 (основание: договор 167),5
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 36626 ОТ 29.10.2024,1
"Исполнительное производство 10882 о возмещении вреда здоровью, ИНН 167232514594",1
Взыскание алиментов по исп. листу 86108 от 25.10.2024 (ООО «Калашникова-Максимова»),1
"Оплата банковских услуг 70050, ИНН 864115932585, ИНН 966918123182",5
Срочный: Оплата банковских услуг 56378 от 10.06.2024,5
"Платеж за поставку канцтоваров 38299 от 08.11.2024 Темно-синий, ИНН 792039051945",5
Благотворительное пожертвование 48944 (Колобов Групп),5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №3865 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Оплата командировочных расходов 24201,5
"Платеж за проведение тренинга 68216, ИНН 420109722792 (РАО «Константинов»)",5
Доплата по счету БИК 602788266 НПО «Брагина Дьячков»,3
Исполнительный лист №80355 о возмещении вреда здоровью (основание: договор 945),1
УСН платеж 60935 (основание: договор 237),3
Налоговый перечисление в бюджет РФ №70485 (основание: договор 204),3
Срочный: Срочный: Земельный налог 59891 с НДС,3
"Срочный: Оплата услуг охраны 6794, ИНН 901078992590, ИНН 864944189282",5
"Срочный: Платежное поручение на налог на прибыль 57130 (АО «Дементьев, Фадеева и Беляев») Шоколадный",3
Таможенные платежи по декларации 18834 (основание: договор 526),3
Налоговый перечисление в бюджет РФ №24052 от 06.01.2025,3
"ФСС: отчисления на травматизм 12252, ИНН 764477681823",3
Перевод средств за работу 94175 в соответствии с договором,5
Оплата хостинга за Июль 52340 без НДС от 30.08.2024 (ИП «Панов Кулакова»),5
Водный налог 62367 от 05.11.2024 от 14.04.2025,3
Медицинская компенсация по судебному решению 74499 с НДС без НДС (РАО «Дьячков Тетерин»),1
Оплата услуг охраны 9460 (ОАО «Дорофеев») (РАО «Пестова Чернов»),5
Премия по соглашению с НДС КПП 675843172,5
Платеж за проведение тренинга 83503 (основание: договор 279),5
"Срочный: Платеж за проведение тренинга 14694, ИНН 825157139345, ИНН 200731364606",5
"Благотворительное пожертвование 88134 (ООО «Симонова, Соболев и Афанасьева») Желтый",5
"Оплата услуг охраны 1235, ИНН 500887086631",5
Исполнительное производство 58537 о возмещении вреда здоровью от 26.09.2024 от 19.02.2025 (НПО «Суворов-Терентьев»),1
Платеж за поставку канцтоваров 16216 (ИП «Хохлова») (основание: договор 934),5
Благотворительное пожертвование 1961 Темно-бирюзовый (основание: договор 284),5
"Оплата услуг охраны 66765 с НДС, ИНН 813501458709, ИНН 608990850477",5
Платеж по контракту ИНН 858750792281 ЗАО «Турова Белова»,1
"Оплата банковских услуг 99434, ИНН 739986782317 (АО «Щербакова Юдина»)",5
ПЕНСИОННЫЕ ВЗНОСЫ ЗА ИЮЛЬ 2023 52112,3
Срочный: Взыскание алиментов по исп. листу 53833 от 01.09.2024 от 20.03.2025,1
Налог на имущество организаций 1956 Темно-голубой с НДС,3
Перечисление средств по исп. документу 41764 о возмещении вреда жизни (основание: договор 940),1
Срочный: Медицинская компенсация по судебному решению 45090,1
"Перечисление средств по исп. документу 90 о возмещении вреда жизни, ИНН 123909221228 Темно-зеленый Ярко-розовый",1
Оплата банковских услуг 25796 от 22.08.2024,5
Срочный: Налог на имущество организаций 29312 (Банк ФК Открытие),3
Возмещение ущерба здоровью по исп. листу 69022,1
Срочный: Платеж за уборку помещений 4544 Коричневый (основание: договор 757),5
Срочный: Оплата банковских услуг 35792,5
Благотворительное пожертвование 52293 Темно-розовый,5
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 44275 (ОСНОВАНИЕ: ДОГОВОР 685),5
Срочный: Оплата услуг связи по договору 75530,5
Налоговый платеж в бюджет РФ №1615 (ОАО «Шилова-Аксенова»),3
Исполнительное производство 43380 о возмещении вреда здоровью Коралловый от 26.11.2024 (основание: договор 583),1
Земельный налог 17067 Аквамарин,3
Таможенные платежи по декларации 38466 с НДС,3
Срочный: Оплата услуг охраны 96788 Слоновая кость,5
"НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 92281, ИНН 166172628108 (ЗАО «Котова»)",3
Оплата хостинга за Июль 49257 с НДС,5
Перечисление средств по исп. документу 99154 о возмещении вреда жизни от 23.09.2024,1
БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 519 (ЮНИКРЕДИТ БАНК (UNICREDIT)) от 06.11.2024,5
Платеж за юридические услуги 2732 (основание: договор 554),5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 49457,5
Срочный: Оплата банковских услуг 74780 от 26.02.2025,5
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 42601 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Оплата хостинга за Июль 24847 (основание: договор 614) (Панфилова Инк),5
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 13845 ТЕМНО-СЕРЫЙ без НДС,5
Срочный: Взыскание алиментов по исп. листу 57677,1
"Срочный: Оплата услуг охраны 45199, ИНН 153913675160 (основание: договор 802)",5
Срочный: Перечисление за аренду оборудования 27403 (основание: договор 403) (основание: договор 126),5
Оплата хостинга за Июль 99886 Бледно-Бирюзовый без НДС,5
СРОЧНЫЙ: ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 48668,5
Срочный: Перечисление за аренду офиса 6243 без НДС,5
"ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 48843 (основание: договор 188), ИНН 813809690306",5
ПЛАТЕЖНОЕ ПОРУЧЕНИЕ НА НАЛОГ НА ПРИБЫЛЬ 21733,3
Перечисление средств по исп. документу 91941 о возмещении вреда жизни Светло-синий Бледно-зеленый,1
Срочный: Страховые отчисления в ПФР по квитанции 64677 (Бобылев Групп),3
Оплата банковских услуг 21499,5
НДС за 2 квартал 2023 54567 без НДС,3
Налог на имущество организаций 63638 от 14.09.2024,3
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 58280 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
НДС за 2 квартал 2023 33172 Темно-оранжевый,3
Оплата рекламных услуг 79624 Фиолетовый,5
"Оплата хостинга за Июль 62665, ИНН 513209223333 (основание: договор 447)",5
Срочный: Взыскание алиментов по исп. листу 16534 Светло-розовый,1
ОПЛАТА УСЛУГ ОХРАНЫ 62804,5
"НДС за 2 квартал 2023 47381 (ООО «Калинина»), ИНН 261737146736 с НДС",3
Платеж за юридические услуги 57276 (основание: договор 957),5
"ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 53832, ИНН 972761139736 от 14.03.2025",5
Срочный: Страховые взносы в ПФР по квитанции 63756 (АО «Ефимова»),3
"Срочный: Оплата услуг связи по договору 62844, ИНН 805918911205",5
Возмещение ущерба здоровью по исп. листу 10787 без НДС с НДС,1
НДС за 2 квартал 2023 20824 от 25.02.2025 от 14.06.2024,3
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 50567 (основание: договор 412) Темно-розовый,5
"Платеж по страховому случаю 89236 (вред здоровью), ИНН 784629425115 (НПО «Ермакова Осипова») (основание: договор 848)",1
"Возмещение ущерба здоровью по исп. листу 14075, ИНН 440381078416",1
Налог на имущество организаций 42140 Розовый без НДС (Шилов Лимитед),3
"Платеж за уборку помещений 23626 Серебряный (АО «Тарасов, Гуляев и Силина») без НДС",5
Исполнительный лист №71868 о возмещении вреда здоровью с НДС,1
"Срочный: Оплата хостинга за Июль 56690 (основание: договор 260), ИНН 911634557416",5
Платеж за уборку помещений 268 Темно-фиолетовый,5
Водный налог 21448 Темно-розовый (основание: договор 117),3
"НДС за 2 квартал 2023 15180, ИНН 237206155639",3
Перечисление НДФЛ за сотрудников по платежке 85193 Темно-голубой Античный Белый,3
Перечисление НДФЛ за сотрудников по платежке 44368 от 20.09.2024,3
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 97539 ТЕМНО-ОРАНЖЕВЫЙ,5
ВОЗМЕЩЕНИЕ УЩЕРБА ЗДОРОВЬЮ ПО ИСП. ЛИСТУ 53275 ТЕМНО-СЕРЫЙ с НДС,1
ВОДНЫЙ НАЛОГ 99827,3
Оплата услуг связи по договору 23299 (Степанов и партнеры),5
Платеж за проведение тренинга 48794 Зеленый с НДС,5
"Медицинская компенсация по судебному решению 30046, ИНН 855227708471 без НДС (основание: договор 422)",1
Перечисление за аренду оборудования 99372 (Сатурн-Р) Тусклый серый,5
Оплата услуг связи по договору 76719 (АО «Лыткина Маркова») с НДС,5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 24402,5
Аванс за работу КПП 731299811,5
Перечисление за аренду офиса 83057 от 15.02.2025 Синий Светло-серый,5
"Оплата услуг охраны 35648 (основание: договор 409), ИНН 791407783188",5
Перечисление НДФЛ за сотрудников по перечислениеке 28803 Бирюзовый от 19.07.2024,3
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 17358 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (основание: договор 405),1
"ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 43478 (основание: договор 172), ИНН 410207600713",5
ВОЗМЕЩЕНИЕ УЩЕРБА ЗДОРОВЬЮ ПО ИСП. ЛИСТУ 72236 (ЗАО «ЗЫКОВА-ФРОЛОВ»),1
Срочный: Оплата хостинга за Июль 20884 (основание: договор 729),5
"Срочный: Возврат займа контрагенту 86390, ИНН 199670685042",5
"Перечисление за аренду офиса 29944, ИНН 764981465437",5
Срочный: НДС за 2 квартал 2023 2477,3
"ФСС: отчисления на травматизм 66843 (основание: договор 959) (АО «Данилов, Васильева и Корнилов»)",3
Вознаграждение за работу КПП 312256194,1
Срочный: ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 5256 Лазурный,3
"Благотворительное пожертвование 18343, ИНН 425982771406, ИНН 105216133896",5
Платеж за поставку канцтоваров 74841 без НДС,5
СРОЧНЫЙ: ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 8801 от 11.02.2025,5
Оплата рекламных услуг 85194 с НДС,5
Возврат по соглашению ИНН 220232233933,5
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 94182 от 14.03.2025 (АО «Кабанова-Пахомова»),1
"ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 51653, ИНН 589564253474 (ОСНОВАНИЕ: ДОГОВОР 561)",5
Платеж по страховому случаю 9939 (вред здоровью) без НДС (ОАО «Воронцова-Ширяев»),1
Срочный: Платеж за поставку канцтоваров 90980,5
"Налоговый платеж в бюджет РФ №56154, ИНН 107962984246",3
"Перечисление за аренду офиса 40398, ИНН 522721018553",5
"Таможенные платежи по декларации 42876, ИНН 669283631406 (основание: договор 442)",3
Оплата услуг связи по договору 33094 (НПО «Корнилов»),5
"Платеж за юридические услуги 15352 Красный, ИНН 743954869293 без НДС",5
"СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 9199, ИНН 959809530290",3
Благотворительное пожертвование 54601 (Ашинский металлургический завод),5
"Платеж за юридические услуги 43185, ИНН 527238818098 (ООО «Зиновьев-Козлов») без НДС",5
Оплата по договору в том числе НДС,5
"Перечисление средств по исп. документу 47744 о возмещении вреда жизни от 02.05.2025, ИНН 367117664454",1
"Оплата рекламных услуг 13793 (ОАО «Ефимов, Гуляев и Котов»)",5
"Оплата командировочных расходов 68298 Светло-синий, ИНН 986809301663",5
Доплата по акту в том числе НДС 60420,3
БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 76445,5
"Оплата услуг охраны 66717, ИНН 459650943733",5
"Перечисление за программное обеспечение 3035 от 10.08.2024 (ЗАО «Савельева, Сидорова и Попова») Светло-серый",5
Перечисление за программное обеспечение 28261 (основание: договор 225) (основание: договор 883),5
"УСН платеж 71105, ИНН 114240122164",3
Платежное поручение на налог на прибыль 96536 (АО «Виноградова-Борисова»),3
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 92400 (ВРЕД ЗДОРОВЬЮ),1
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 17507 (основание: договор 944),5
"Уплата транспортного налога 67510 без НДС, ИНН 371732950462",3
Оплата услуг связи по договору 11572 Темно-бирюзовый (основание: договор 813),5
"Страховые отчисления в ПФР по квитанции 48455, ИНН 857709570787",3
Медицинская компенсация по судебному решению 74018,1
Срочный: Оплата хостинга за Июль 48625 с НДС от 30.10.2024,5
Перечисление за аренду офиса 47244 от 19.10.2024 с НДС,5
НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 15068,3
Платежное поручение на налог на прибыль 57558 Слоновая кость,3
ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 66787 (ОСНОВАНИЕ: ДОГОВОР 786),5
Оплата рекламных услуг 72997 Розовый с НДС,5
ЕНВД за отчетный период 34053 без НДС,3
Исполнительное производство 57499 о возмещении вреда здоровью Ярко-розовый,1
"Перечисление НДФЛ за сотрудников по платежке 24342 (НПО «Полякова, Королева и Наумова»)",3
Оплата услуг связи по договору 92983 Светло-розовый (основание: договор 803),5
"Благотворительное пожертвование 21640, ИНН 992538299760 от 28.04.2025",5
Оплата хостинга за Июль 58244 без НДС,5
Земельный налог 11839 (ОАО «Ларионов-Бирюкова») от 22.11.2024,3
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 19328,1
"УСН платеж 84745 с НДС, ИНН 803322584392",3
Медицинская компенсация по судебному решению 75163,1
Оплата хостинга за Июль 96008 (Технологии машиностроения (Техмаш)) (основание: договор 782),5
"КОМПЕНСАЦИЯ МОРАЛЬНОГО ВРЕДА ПО РЕШЕНИЮ СУДА 50385 (СНПХ) (ЗАО «Киселев, Герасимова и Захаров»)",1
Срочный: ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 56489 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (Виноградов Лтд),1
Срочный: Срочный: Перечисление средств по исп. документу 99063 о возмещении вреда жизни (основание: договор 518),1
Оплата услуг связи по договору 67296 без НДС (Госкорпорация по ОрВД),5
ОПЛАТА БАНКОВСКИХ УСЛУГ 2795 (ЗАО «Муравьев»),5
"Перечисление за программное обеспечение 14200 (ОАО «Баранова»), ИНН 233029551535 Темно-оранжевый",5
Оплата по заказу неотложный платеж срочно,3
"Срочный: Перечисление средств по исп. документу 8440 о возмещении вреда жизни (АО «Исаев, Захарова и Веселов») от 02.06.2024",1
"Платеж за поставку канцтоваров 57386, ИНН 403383229448",5
ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 12196 (основание: договор 448),5
Компенсация морального вреда по решению суда 41304 от 23.12.2024,1
СРОЧНЫЙ: ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 21282,3
Оплата услуг связи по договору 56755 Слоновая кость,5
Премия по соглашению Поляков и партнеры в соответствии с договором,5
Платеж за проведение тренинга 96832 (основание: договор 544) (основание: договор 246),5
"Срочный: Оплата командировочных расходов 7685, ИНН 360016811876 Шоколадный",5
Перечисление за аренду оборудования 27380 от 16.04.2025 от 28.08.2024,5
СРОЧНЫЙ: ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 82605,5
Оплата услуг связи по договору 6514 (ЗАО «Архипов Сорокин»),5
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 4873,5
"Платеж за поставку канцтоваров 55322 (РАО «Афанасьев Никифорова») (ОАО «Мартынов, Мельникова и Новикова»)",5
Оплата услуг охраны 90189 от 17.07.2024,5
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 91490 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ,1
Компенсация морального вреда по решению суда 91848 от 21.07.2024,1
УСН ПЛАТЕЖ 43443 с НДС (Лебедева Групп),3
"Оплата командировочных расходов 55709, ИНН 158023548957 от 26.03.2025",5
Оплата рекламных услуг 89739 Бежевый (основание: договор 988),5
Срочный: Благотворительное пожертвование 1177 (основание: договор 900),5
"Уплата транспортного налога 33615, ИНН 335725304088, ИНН 835636470455",3
Платеж по страховому случаю 63201 (вред здоровью) без НДС,1
Вознаграждение по контракту ИНН 372229755534 в соответствии с договором,5
Оплата услуг охраны 95804 с НДС,5
Оплата услуг связи по договору 38740,5
Возврат займа контрагенту 32892 (основание: договор 918),5
Платеж за уборку помещений 94688 Бирюзовый с НДС от 14.09.2024,5
Возврат за работу в том числе НДС в том числе НДС,1
"Оплата командировочных расходов 99509, ИНН 553630629039",5
СРОЧНЫЙ: ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 15078 ОТ 20.05.2025,5
Перечисление за программное обеспечение 35367 (основание: договор 663) (основание: договор 239),5
"Перечисление за аренду офиса 22802, ИНН 548072589330",5
Срочный: Компенсация морального вреда по решению суда 18209 (основание: договор 367) (основание: договор 255),1
НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 95173 с НДС,3
"Платежное поручение на налог на прибыль 16966, ИНН 284480086552 Темно-розовый",3
Срочный: Компенсация морального вреда по решению суда 48848,1
Возврат за работу с НДС,5
"Перечисление за программное обеспечение 16587, ИНН 854299233542 Коралловый (основание: договор 402)",5
Водный налог 26474 от 24.12.2024 Шоколадный Цвет морской волны,3
Страховые отчисления в ПФР по квитанции 93091,3
"Уплата транспортного налога 8945 Васильковый, ИНН 435057255481 от 20.02.2025",3
"Срочный: Перечисление за аренду офиса 51721, ИНН 481851440009",5
"Таможенные платежи по декларации 46966, ИНН 760966724859",3
ЕНВД за отчетный период 8233,3
Срочный: Платеж за проведение тренинга 1288 от 01.12.2024 (ООО «Ковалева»),5
Срочный: Срочный: Пенсионные взносы за Июль 2023 9835 (основание: договор 780),3
СРОЧНЫЙ: ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 99937,5
Пенсионные взносы за Июль 2023 57818 (основание: договор 234),3
Земельный налог 50701 от 27.08.2024,3
Налоговый платеж в бюджет РФ №7880 без НДС (основание: договор 176),3
Платеж по страховому случаю 53542 (вред здоровью),1
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 18774,1
СРОЧНЫЙ: ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 83544 (НПО «ОСИПОВА»),3
"Возмещение ущерба здоровью по исп. листу 52728 от 17.12.2024 (НПО «Калинина, Воронцова и Муравьев»)",1
Компенсация по заказу ИНН 273985009786 в соответствии с договором,5
Оплата банковских услуг 9439 (ИП «Матвеева Захарова»),5
Налоговый перечисление в бюджет РФ номер 18262 Светло-серый,3
Платеж за поставку канцтоваров 11683 (АО «Белозеров») Малиновый,5
"Платеж за проведение тренинга 44253, ИНН 364200708417 без НДС",5
Платеж за поставку канцтоваров 37042 (основание: договор 231),5
"Благотворительное пожертвование 32615, ИНН 705583451634 (ИП «Ситников Фролова»)",5
"Налоговый платеж в бюджет РФ номер 4808 Аквамарин, ИНН 843164101468",3
Взыскание алиментов по исп. листу 99143 (основание: договор 276),1
Платеж за работу срочно в соответствии с договором,1
"Перечисление за программное обеспечение 82187 Фуксия (ЗАО «Титова, Шарапов и Овчинникова»)",5
Оплата услуг охраны 11612 Темно-розовый,5
